,date,author,text,title,stars,location,url,language
0,2022-05-19,Isabelle,Vielen Dank für die nette Beratung. Mir wurden alle Fragen sehr nett und verständlich beantwortet.,Nette uns Komponenten Beratung,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
1,2022-05-19,Diana Rosenkranz,Super strukturiertet und transparenter Ablauf. Freundliche Mitarbeiter. Sehr zu empfehlen.,Super strukturiertet und transparenter Ablauf,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
2,2022-05-19,Mohammad Zahid Kamal,"Das einzig Gute ist, dass der Arzt mit mir auf Englisch gesprochen hat, damit ich verstehe, was ich brauche. Ansonsten habe ich als neuer Patient keine Einführung mit dem Arzt erhalten und daher mein Vertrauen verloren, das nächste Mal dorthin zu gehen. Normalerweise gehe ich zu einem anderen Zahnarzt, der sehr fröhlich ist und sich sehr nett verhält, und ich fühle mich dort sicher.",Das einzig Gute ist,3,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
3,2022-05-19,Angelina M,Sehr freundlich und sehr zuversichtlich,Freundlich,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
4,2022-05-19,Rachid D,Alles gut  einfach super,Alles gut  einfach super,4,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
5,2022-05-19,Sharmila,"Ich bin mit dem ersten Besuch bei Plus Dental zufrieden, weil sie gut sind und jeden Schritt des 3D-Scans erklären und auf meine Bedürfnisse bezüglich der Zähne eingehen.",Sehr gut und freundlich!,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
6,2022-05-19,Hstore in charge,Schnell und professionell.,Schnell und professionell.,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
7,2022-05-19,A. S.,"Ich bin durchweg positiv überrascht. Am Anfang war ich sehr skeptisch, da es im Endeffekt eine Fern-Behandlung ist. Der Service, die Terminvergabe, die Lieferung und Betreuung ist einfach einwandfrei.
Terminverschiebung? Kein Problem. Es ist immer jemand erreichbar und geht auf alle Fragen und Unklarheiten ein.
Die Schienen waren nach der Bestätigung innerhalb kürzester Zeit da inkl. einer Anleitung und hilfreichen Tipps.
Über die App kann man seinen Fortschritt überwachen und man wird aufgefordert die Schienen rechtzeitig zu tauschen. Man muss selber nur noch daran denken, die Schienen auch zu tragen.
Vielen Dank dafür, macht weiter so:)",Ich bin durchweg positiv überrascht,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
8,2022-05-19,Siyar Bogatekin,Ich war sehr zufrieden mit der Behandlung,Ich war sehr zufrieden mit der…,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
9,2022-05-19,A G,Kein Feedback. Falsches Kiefer berechnet und warte immer noch auf Rückruf,Lost in the dark,1,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
10,2022-05-19,Christina,"Heute war mein Termin in einer Praxis für den 3D Scan. Schnell abgewickelt und die Aufklärung war sehr gut! Nachdem der Behandlungsplan erstellt ist, bekomme ich einen weiteren Gesprächstermin. Super!",Super!,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
11,2022-05-19,Svenja Wehrenberg,"Ich bin bisher überaus zufrieden mit PlusDental! Ich musste meinen Termin leider 3 mal verschieben. Dies ging alles super einfach digital. In der Praxis bin ich dann super aufgenommen und beraten worden. Alles ging super schnell und die Abläufe wurden perfekt erklärt.
Tolles Team und super Service!",Ich bin bisher überaus zufrieden,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
12,2022-05-19,ubqx,War sehr einfach und unkompliziert. Kompetente und nette Beratung.,Bin sehr zufrieden,5,AT,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
13,2022-05-19,Nadine Kärger,"Tolle Beratung durch den Zahnarzt, alles lief schnell und unkompliziert ab. Die Zahnarztpraxis in Osnabrück hat einen guten Eindruck hinterlassen, sauber und es wird kompetent gearbeitet. Ich habe anschließend sehr schnell eine Rückmeldung von PlusDental bekommen und es erfolgte das Gespräch per Telefon, in welchem der Behandlungsplan erläutert wird.",Tolle Beratung und..,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
14,2022-05-20,Dana,"Bei meinem Termin wurde ich super lieb empfangen, gut und verständlich aufgeklärt und es tat überhaupt nicht weh! Die Praxis in Leer ist sehr professionell und ich habe mich gut aufgehoben gefühlt. :)",Ich bin echt zufrieden!,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
15,2022-05-20,Sabrina Klein,"Das scannen meines Gebisses hat ungefähr 30 Minuten inklusive Fotos gedauert. Alles ohne jedwede Schmerzen oder unangenehmen Druck. 
Die mich betreuende Zahnarztgehilfin war sehr freundlich und zuvorkommend, sehr kompetent und offen. Jetzt bin ich gespannt auf meine Animation und freue mich sehr auf das Ergebnis.","Modern, unkompliziert, schmerzlos",5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
16,2022-05-20,Andreas,"Ich trage meine Schienen seit gestern. Bisher, inklusive der vorangegangenen Termine für Scan und ASR verliefen problemlos! 
Bisher kann ich PlusDental Vorbehaltlos empfehlen",Ich trage meine Schienen seit gestern,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
17,2022-05-20,Miriam P,"Wenig Aufklärung über den Ablauf, erst nach Nachfrage. Sonst alles problemlos",Arzttermin,3,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
18,2022-05-20,Jakob Bonell,Habe sehr schnell einen Termin bekommen und der Scan der Zähne läuft zügig ab und ist nicht unangenehm. Sowohl die Mitarbeiter von PlusDental als auch in der Praxis waren super nett!,PlusDental Erfahrung,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
19,2022-05-20,Livia Schmitt,"Heute war ich zu Besuch in der Zahnarztpraxis, um den kostenlosen 3D-Scan machen zu lassen. Das ging super fix! Ich freue mich auf den Plan, der von PlusDental bald erstellt wird und bin jetzt schon begeistert von dieser modernen Art und Weise die Zähne richten zu lassen.","Kostenloser 3D-Scan, Plan auf dem Handy",5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=2&stars=1&stars=2&stars=3&stars=4&stars=5,de
20,2022-05-16,Sanni P,"Die Praxis und der behandelnde Arzt war sehr sehr gut und äußerst freundlich. Ich fühlte mich super aufgehoben und habe auch umgehend die Info bekommen, dass für mich ein Behandlungsplan erstellt wird!",Die Praxis und der behandelnde Arzt war…,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,de
21,2022-05-16,Chris,Top Beratung beim Erst Gespräch!,Top Beratung beim Erst Gespräch!,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,de
22,2022-05-16,Britvarevic Amel,"Very nice staff,no waiting,fast treatment","Very nice staff,no waiting,fast…",5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,de
23,2022-05-16,Rene,"PlusDental wirkt durchstrukturiert (klare Beschreibungen, ansprechende Darstellungen etc.) und routiniert (Angebotspakete, automatische Emailbenachrichtigungen, Ansprache via sms, Email, App). Mit dem Ergebnis meiner Behandlung bin ich zufrieden.
Unangenehm aufgefallen ist mir: 
- trotz striktem Befolgen der Behandlungsvorgaben (23 Stunden am Tag tragen) hat sich die Behandlungszeit fast verdoppelt, was bedeutet und das war mir so vorher nicht bewusst gemacht worden, dass 
1) mehrere Schienen deutlich länger als 2 Wochen getragen werden und in dieser Zeit verschleißen (Risse, Löcher) und 
2) die Angaben in der App nicht passen, weil die Aufforderungen zu neuen Schienen zu wechseln + in dies in die App eintragen und Fotos in App zu machen zur gleichen Zeit kommen - wenn dann Email kommt, dass auf Stufe x zurückgestellt wird, lässt sich das in App aber erst beim nächsten Wechsel ändern
- die ersten Schienen haben stark ins Zahnfleisch eingedrückt und dort Schmerzen verursacht
- der Retainer sitzt etwas lose an den hinteren Zähnen
- Rabatt-Code kann nicht eingegeben werden, wenn mit hinterlegten Angaben via Apple Pay bestellt wird (Rabatt auf mehrfache Nachfrage und trotz widersprüchlicher Rückmeldung erstattet)",Ziel erreicht,4,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,de
24,2022-05-17,Bianca,"Der Mitarbeiter von PlusDental, welcher mich im Erstgespräch betreut hat, war sehr freundlich und informierte mich über alles sehr detailliert. Bei Rückfragen wurde kompetent geantwortet. Er war weder aufdringlich noch setzte er mich unter Druck die Behandlung abzuschließen. Leider sind die Mitarbeiter jedoch sehr gefragt und es hat einige Tage gedauert, bis ein gemeinsamer Termin für das Erstgespräch gefunden werden konnte.",Freundlich und kompetent,4,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,de
25,2022-05-17,Marija Stojanovska,"Ich kann es nicht empfehlen. Am Ende meiner Behandlung habe ich die endgültige herausnehmbare Retainers bestellt, die die gleiche sein sollte wie die letzte Zahnspange, die ich am Ende der Behandlung benutzt habe. Die herausnehmbare Retainers passt mir überhaupt nicht! Ich habe weder eine Antwort auf meine E-Mail noch auf meine Anrufe erhalten, um dieses Problem zu lösen. Ich habe bereits für die Retainers bezahlt und stehe jetzt ohne Lösung da.",Ich kann es nicht empfehlen,1,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,de
26,2022-05-17,Leonard Kaes,Bin bisher nur in der Beratung gewesen aber damit sehr sehr zufrieden.  Alle Mitarbeiter*innen haben sich für die diversen Gespräche viel Zeit genommen und sind auf alle meine Fragen eingegangen. Hoffe die Behandlung läuft genau so gut :),Bisher top Beratung,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,de
27,2022-05-17,B Plt,Nettes Personal und alles gründlich untersucht.,Top!,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,de
28,2022-05-17,Silvio Richter,Super Beratung durch den Zahnarzt und das Personal der Praxis. Auch vorweg wurden durch das Team alle Fragen beantwortet. Das Resultat erhalte ich in ein paar Wochen,Super Beratung durch den Zahnarzt und…,5,DE,https://www.trustpilot.com/review/plusdental.de?languages=de&page=3&stars=1&stars=2&stars=3&stars=4&stars=5,de
